,summary_text,sentiment,sentiment score,intent,intent score
0," The result of your review is based on your misunderstanding of the timeline and coincidence of the amount and reason ( s ) for disputes . XXXX has been shut down for fraud by the government and has gravely impacted its members due non-access to products and services . The charge for {$2800.00}, transaction XXXX to XXXX was mentioned in the initial case submitted through CFPB . This is a charge that also represents the payment made to this failed company . The refund in the total of {$7800.",NEGATIVE,0.9994300007820129,Quit Services,0.259894996881485
1," I was on a business trip in XXXX, my co workers and I want to a bar/restraint. I tried to pay for the bill with my credit card but it was declined because I needed to enter in a PIN . I had no idea that my card had a PIN so I was not able to enter it . My coworker then end up paying for the . bill .",NEGATIVE,0.9990741014480591,Security Concern,0.4652405381202698
2," ""I applied for the Chase Freedom Account online and I was approved"" ""I received the card in the mail with instructions on how to verify the card"" ""For some odd reason XXXX believes my card was fraudulently opened. Once I got that straightened out they turned it back on and used it for a day. Then all the sudden it has been reported as """" lost '' according to them. To which I have to call the fraud department to get it fixed. This is an ongoing problem that needs fixed, and resolved",NEGATIVE,0.999710738658905,Security Concern,0.5599702596664429
3," A check was issued by Barclays Bank Delaware . The check was received and deposited by Barclays on XX/XX/XXXX and cleared my bank . The endorsement on the back of the check is from Barclays Bank, the issuer of the XXXX XXXX . The payment has not been applied to my account . I used the online messaging system to alert XXXXXXXXXX XXXXXXX to the issue . I never received a reply to that message .",NEGATIVE,0.9979047775268555,Security Concern,0.36270079016685486
4," A woman ordered some clothing online, two purchases in the amounts of {$140.00} & {$81.00, but the merchandise was never delivered to her home . The packages is missing . I have no merchandise and can't get a refund . I was a good customer and I paid all my bills on time . This company lowered my line of credit and then closed my card without notifying me . This is causing me to have a bad credit score .",NEGATIVE,0.9997090697288513,Functionality Concern,0.2861134707927704
5," Citibank is attempting to collect on a debt, under my name, that they have yet to validate . I am reporting the account as a fraud account that I personally never applied for, also I have police affidavit and other id theft reports . I found out, independently that one XXXX XXXX applied for a Citibay Checking Account using my social security number . One example, {$560.00} to XXXXXXXX, unauthorized. I called and reported the charge in XX/XX/2017 .",NEGATIVE,0.9977121353149414,Security Concern,0.5282855033874512
6," To my knowledge, I was never late on my Capital One credit card with account number XXXX . But I realized that I was reported as being 30 days past due in XX/XX/XXXX . I have always have 100% positive payment history and have tried to pay way before my due date . Even now my balance is low because I make sure to maintain my credit properly .",NEGATIVE,0.995617151260376,Functionality Concern,0.35462686419487
7," On XX/XX/2019 I applied for the paypal rewards mastercard issued by Synchrony bank . They did a hard pull on my XXXX credit report . After reviewing my credit reports, I updated my address and phone number and applied for another synchrony credit card ( WALMART ) After googling I found out they use your phone number to verify your identity .",NEGATIVE,0.9986165761947632,Security Concern,0.48715198040008545
8, Bluebird American Express has closed my account because of charges . I have made over 25 phone call attempts in 7 days . Bluebird Amex advised me to call the same non-working number XXXX XXXX . Capital One credit card holder also a retailer that accepts credit cards as payment options .,NEGATIVE,0.9991600513458252,Overcharged,0.49282899498939514
9," Citibank Visa XXXX Card will not recognize what I am going through as such . My business was recently lost in a major flooding event in XXXX County,  CA . I have been reaching out to them since XX/XX/XXXX to try and get a late charge reversed . Their """" company policy '' won't allow that, they will not help me. I've explained my situation ... I have NO income and wish to make some kind of arrangement with reasonable monthly payments .",NEGATIVE,0.9996236562728882,Not Benefited,0.282249391078949
10, Sears charge is from XX/XX/2019 & we are still trying to get it taken care of! Sears finally removed it after many messages . They put it back on our card & sent us a letter with Proof of purchase however the proof of purchase actually proved we did NOT make the purchase .,NEGATIVE,0.9992315769195557,Overcharged,0.4637390971183777
11," On XXXX XX/XX/XXXX, I arrived in the branch to open a business credit card account . I initiated the process online for a Wells Fargo Business Platinum Credit Card with a """" New customer offer : Get a one-time {$500.00} cash back bonus or XXXX bonus points when you enroll in the Business Card Rewards Program and spend {$3000.00'' in the first three months of account open date .",NEGATIVE,0.9877731204032898,Functionality Concern,0.4997190237045288
12," Chase got response from XXXX saying they never got my return so Chase asked me to provide the return receipt . Chase then called me saying they still haven't received anything from me . I was trying to upload the document through the secure messages but I couldn't due to their website technical problems . I faxed two times in the morning on XX/XX/2019, then called them to confirm if they receive it .",NEGATIVE,0.9990735054016113,Security Concern,0.577565610408783
13," WELLS FARGO ACKNOWLEDGED MY APPLICATION AND DENIED MY application by MAKING false STATEMENTS . WHERE WELLs FARGO IS OUTRIGHT DISCRIMINATING AGAINST ME AS A CREDIT APPLICANT FOR MY NATIONAL ORIGIN, MY last name IMPLIES XXXX DECENT, XXXX AS A FEMALE, AND AGE, as I AM XXXX YEARS OLD, in reporting a VIOLATION OF MY RIGHTS under the CONSUMER CR",NEGATIVE,0.9989137649536133,Overcharged,0.27992886304855347
14, Chase USA/JPMorgan Chase is instituting changes to terms that they are instituting on their credit card accounts . The CFPB states that credit card companies must establish procedures to assure that their bills are mailed or delivered to you at least 21 days before the payment is due . Chase now states that your due date will be a minimum of 21 days after the close of each billing cycle .,NEGATIVE,0.9969784021377563,Functionality Concern,0.5396462082862854
